term_str,n,n_chars,p,s,i,h
they,2017,4,0.0038886350447568975,257.15964303420924,8.006520443005412,0.031134435981233364
all,1971,3,0.003799950259402997,263.1613394216134,8.039803750574887,0.03055085434754623
be,1906,2,0.003674634801837703,272.1358866736621,8.088183407708431,0.02972112023361167
or,1785,2,0.003441355257754617,290.58319327731095,8.182807452701912,0.028159947450549387
this,1757,4,0.003387373214495721,295.2140011383039,8.205617335609997,0.027795488371047047
there,1751,5,0.003375805633797386,296.225585379783,8.210552443184815,0.02771722919429219
me,1745,2,0.003364238053099051,297.2441260744986,8.21550449052136,0.02763891283241809
have,1707,4,0.003290976708676264,303.8611599297012,8.247268468590635,0.02714156844033194
an,1659,2,0.003198436063089585,312.65280289330923,8.28841764066251,0.026509973887842868
could,1635,5,0.003152165740296246,317.2422018348624,8.309440891232928,0.02619273489836114
one,1560,3,0.00300757098156706,332.4942307692308,8.377185497868762,0.025194980010594493
when,1551,4,0.0029902196105195578,334.42359767891685,8.385532840582282,0.025074584744564914
no,1487,2,0.002866832083070653,348.8170813718897,8.446326879565955,0.024214200882441715
him,1454,3,0.002803210389229811,356.73383768913345,8.478704257698778,0.02376759186238825
we,1400,2,0.0026991021629447975,370.49357142857144,8.533304699786045,0.02303226117225952
been,1338,4,0.002579570495728671,387.66143497757844,8.598653410976912,0.02218083264195274
what,1328,4,0.0025602911945647793,390.58057228915663,8.609476380271449,0.02204276656622244
their,1315,5,0.0025352281030517204,394.4418250950571,8.623668727438709,0.02186296730921088
some,1312,4,0.002529444312702553,395.34375,8.62696380700029,0.021821424537507652
so,1310,2,0.002525588452469775,395.94732824427484,8.62916471519356,0.02179371875915249
would,1278,5,0.0024638946887453224,405.86150234741785,8.664843690671379,0.021349262348253628
is,1214,2,0.002340507161296417,427.2578253706755,8.738963105362691,0.020453605730406554
its,1171,3,0.002257606166291684,442.9470538001708,8.790990451117159,0.01984659425025341
more,1113,4,0.0021457862195411142,466.0296495956873,8.864277934276414,0.019020845437552704
old,1067,3,0.0020571014341872135,486.1208997188379,8.92517135079395,0.018359982786084864
out,1058,3,0.0020397500631397112,490.2561436672968,8.937391899504348,0.01823004569131834
them,1007,4,0.0019414256272038651,515.085402184707,9.008667843611589,0.01748965861855492
now,996,3,0.0019202183959235845,520.7740963855422,9.024513879550293,0.01732903756578019
only,983,4,0.0018951553044105258,527.6612410986775,9.043468205277792,0.017138776739500147
about,957,5,0.0018450291213844082,541.9968652037617,9.082140697132347,0.01675681407071967
up,921,2,0.001775623637194399,563.1824104234528,9.137458465527038,0.016224687235271873
did,893,3,0.001721641593935503,580.8409854423292,9.18199944649715,0.01580811216258226
before,882,6,0.0017004343626552225,588.0850340136054,9.199880966060853,0.015643793727027597
into,873,4,0.0016830829916077202,594.147766323024,9.214677967988933,0.015509067761064562
then,872,4,0.001681155061491331,594.829128440367,9.216331486841447,0.015494082327485423
seemed,857,6,0.001652236109745494,605.2403733955659,9.241364417505874,0.01526891599392034
very,849,4,0.001636812668814381,610.9434628975265,9.254895068065334,0.015148529495957071
those,839,5,0.0016175333676504895,618.2252681764005,9.27198881117855,0.0149977512865633
where,837,5,0.0016136775074177111,619.7025089605735,9.27543199906803,0.014967555988478575
great,834,5,0.0016078937170685436,621.931654676259,9.28061223817371,0.014922238108308943
than,834,4,0.0016078937170685436,621.931654676259,9.28061223817371,0.014922238108308943
through,821,7,0.001582830625555485,631.7795371498173,9.30327739984057,0.014725512386505853
who,798,3,0.0015384882328785346,649.9887218045113,9.344270875396028,0.014376050786626392
time,793,4,0.001528848582296589,654.0870113493064,9.353338755914395,0.014299838696719464
after,774,5,0.0014922179100851952,670.1434108527131,9.388326055473962,0.01400942828569774
saw,767,3,0.0014787223992704713,676.2594524119947,9.40143304411544,0.013902109627575073
any,753,3,0.0014517313776410232,688.8326693227092,9.428009756946444,0.01368693759286487
things,748,6,0.0014420917270590776,693.437165775401,9.437621351730737,0.013609915674447005
you,744,3,0.001434380006593521,697.1653225806452,9.445357000510342,0.013548231236670183
our,733,3,0.0014131727753132403,707.6275579809004,9.466846423484562,0.0133782896337399
even,731,4,0.0014093169150804622,709.5636114911081,9.470788215665936,0.013347342031482712
