term_str,0,1,2,3,4,5
cold,-0.006484066917063012,0.0037151871528316675,-0.005926438310106111,0.0023804567729862934,0.007963998693766662,0.0017437174311272278
secret,-0.0022939764787618666,-0.0016027089487626739,6.950504887423548e-05,-0.0010388703688845938,0.0011607700964119672,0.00471090913004971
d,-0.02211511651836029,0.024788828062618895,-0.46794264742154457,-0.1008562868617102,-0.007979636323015682,-0.03066852089087724
read,0.0065034307403119,-0.0004401330745251314,0.0028162996545348998,-0.007581436504588437,0.004224806820068899,0.006092710010973626
fancy,-0.0003829174319159301,-0.006272644389638371,-0.00916469606463749,0.00020209252683037193,0.001428875168804078,0.00832262667083225
her,0.011379163693863076,0.011015451198900239,-0.014692999755754388,-0.01307483802982036,0.03550730013657384,-0.03079692362473438
tales,-0.0025712426505814234,0.0007644938409128166,0.0008821817893853445,0.007586469893813758,0.008075442594901394,-0.00017140039777052696
least,-0.007181075941416329,0.006063233216534569,0.0032424760462320124,0.001134333816898661,0.0038985930473764974,-0.0008352084256775996
free,-0.0031884739282118414,0.002079825219366671,-0.0017883110743374675,-0.0012676332917556932,0.004140904804385032,0.0026715667405114024
silence,-0.003508583722876,0.0028185819414766238,-0.003811426916481898,-0.0008086722159885344,0.004358446374519395,-0.0023170934003130614
tried,-0.001470276719420156,0.004093691611915574,0.007052466789967961,-0.0010831359479343825,-0.0017562134972430483,-0.000155179079083322
accursed,-0.0016886969092824865,0.0023712388201565914,0.001687897651776878,0.0008766124536152709,0.0038019898093651075,0.0005148774008321196
broken,-0.004151737628568695,0.0026073072670243025,-0.0015472819275264465,-0.0006234427900399981,0.004346887233025827,-0.00028549796504812107
red,-0.003358881662880094,0.002330146659444955,-0.004894744670895192,0.0016395455336233285,0.006671808763182131,-6.010241068619645e-05
return,-0.0021084731749587845,0.00607480327908036,-0.001358221155171033,-0.0011843500165929764,-0.007163282807937687,-0.003379433556718133
plain,-0.0021014345312795764,0.0038271949969348263,-0.00835028369312902,-0.0012948548358571285,0.0055944462414306804,-0.0002314747408198219
vague,-0.00823263005214581,0.006168348849499637,0.00013216265369756473,0.001627012276173138,0.0057252712908484864,0.0014143767876095745
doubt,-0.0069265586695765585,0.004969730786144225,0.006047561900308817,0.0007884137315456472,0.0005809204468651776,0.0026463185808654134
alive,1.729080933257388e-05,-0.00041798901741767376,0.0029499871030038505,-6.678631805511165e-05,0.0006417677858291358,0.001671127885917282
narrow,-0.006999847766055227,0.005990511363463766,0.00015943321736273594,0.0011319796633958296,0.0027433894113820766,0.0003917874468427929
heavy,0.0011494306666154622,0.005469034272866685,0.0012432616618833136,0.004455894109820464,-0.003468470810298519,0.0023772498010391535
opened,-0.00564843354587561,0.005706853435885461,0.0033580510894723713,0.0018792168826299003,0.001568809770787913,-0.0003255950130240429
sought,-0.00437273607666748,0.003127955588199817,-0.006626499623952109,-0.00016811562062762474,-0.0011181092306096823,-0.0003084984929490218
speak,-0.0009980236796634716,-0.001275513389828536,0.0033589300790927094,-0.0033415102310473204,0.0033359830558498914,-0.005208016596523417
died,0.0005347656511793786,0.003657038697936379,0.0012782429149224774,0.0025857474904490934,0.007491685660131097,0.0007921177888725342
let,0.01207013643370412,-0.008334126065802654,-0.0031822986554528726,-0.01935257075255285,-0.0062853075287442346,-0.0115487307503113
across,-0.007424569045732787,0.008058865788172631,0.005146518359822184,0.005054472065612249,0.0002697661519788844,0.0018605847299677952
kept,-0.005220159718773077,0.006297958476721981,0.004580375107835328,-0.001332582661662579,-0.0035414245862678195,0.0039754110906690945
anything,0.0016768633944335644,-0.009523062528237746,0.008171241650376002,-0.009500754006854134,-0.004059768337871189,0.000500699228135385
evil,-0.005195955950593296,3.350587298241864e-05,-0.0009333776625384971,0.0010465266291739155,0.005033550667495433,-0.0029893870140315416
next,-0.0029911002712880567,0.007523446762711184,0.005403495291202471,0.004659439591359539,0.0013397026868124185,0.001871559648281348
however,-0.012615164743151847,0.01179200581015655,0.011420271569679,0.0028964003797659578,-0.0024615377527079287,0.004642089644253276
shadows,-0.0037269048508010547,0.0015051183869774533,-0.007721469805494855,0.000537686252736427,0.00427114423191364,-0.00021407174518959723
take,0.014079428672869487,-0.007391129035321055,0.008149415790698679,-0.0222191945926284,-0.002662284086364633,0.01033500070272014
monstrous,-0.010164340330860167,0.003924287098882741,0.0003203312241924225,0.004944381130490377,-0.0048190366041451676,0.0002870826924790982
reason,-0.0034893145581372724,0.0008704114278263167,0.00017365809528299215,-9.323258512712596e-05,0.0026442210595506704,-0.0008748527427331172
queer,0.008147987368124648,0.0023073132230409365,0.004447754725493726,0.00808045633407649,0.008930918385531587,-0.0037342264251952135
window,-0.009495704526621223,0.005587915194154438,0.006771229216555068,0.0038923905830656413,0.009090438192628027,-0.001381384101514164
steps,-0.008042314793688358,0.005835490221137716,0.003557752681323456,0.000625707257416567,0.0017788067892589483,0.0005935855735861423
itself,-0.0009122461211578229,0.007203885165426468,0.005680936268759829,0.004947663277312068,0.0029465335401653815,0.001157797507388138
done,0.017612659115127684,0.0026506212589548286,0.0028152223793733487,0.0005646539785942187,-0.0023081867787814133,0.009187020239801174
noticed,-0.005542661312087597,0.006782652378181165,0.006051800605003009,0.002661858332977358,0.0005520204579726774,0.00201443321350989
finally,0.000586039507711974,0.010723668173820514,0.005408148733404958,0.002599971767568281,-0.0011550539857504813,0.0005652922700361039
keep,0.011419368912136763,-0.003953068369406305,0.006109065688708246,-0.010421129414326996,-0.004480026776952076,0.002085454149802037
god,0.011131682947573758,-0.011056362029464112,0.0006284756558109575,-0.0012079289085240221,0.008268829545201962,-0.030882385898760963
frightful,-0.006191558357101536,0.0018998776140234895,0.005387132497116207,0.0028825125761380594,0.0011530036824274029,0.003433629734547438
vision,-0.0029536636210476044,0.0023672610434308915,-0.004982518266264149,-0.00020390147690316663,0.0018197111692022825,0.00030836233709283624
midnight,-0.0018793498393442144,0.003605851197464191,-0.0055442201591519675,0.0008271495513533646,-0.0033068403178313907,-0.002302343191762559
glow,-0.004623733685246329,0.0036510514940399632,-0.020061545591049522,-0.004253789477652949,0.0037132499394023945,-0.001421939255637821
eye,-0.0037478879639386772,0.0039966815797917304,-0.009627698259896105,-0.0008071776917496442,0.0053910022928184064,0.0003277805208871825
shocking,-0.003747418957298156,0.001887071455520371,0.0016380718708842918,0.0018090661327454217,0.0015363209700479403,0.00019873225583272818
dwelt,-0.0026370367494878448,0.0034803594747542443,-0.006053185344560177,-0.001112606716149774,0.0021370669450725814,0.0009788912579936121
whispered,0.0013484952151036518,-0.005236253723513377,0.004244777884294192,0.00022194530449979666,0.0007938391592341677,-0.019059204876481634
remember,0.0022913295888743372,-0.005432450562504234,4.1095832168784076e-05,-0.008968689291676865,0.0012260232430125148,-0.0012315591629661004
instead,-0.004257100940416382,0.001804456533491725,0.0019476929506519521,0.0017324669868451987,-0.000608554257118006,0.001390761927322986
ago,0.003825499228467586,0.00010834819562406282,0.0031742918061407293,-0.0024779155319480085,-0.003231987861914961,0.0040258505554353575
others,-0.002603107047649011,8.844677527388746e-05,0.006335446483192934,0.005326979834291098,-0.009543363339671746,0.005129597668614752
trees,0.005690528975582114,0.010394395428028252,-0.0033002769440260184,0.006311502110919294,0.007728001528189302,0.0028210265888247224
go,0.015390820000871934,-0.027873978864170278,0.007037277127888562,-0.024582243780920568,-0.01025407695767407,-0.005145457904542853
passed,-0.0063534039533045,0.005080872104888381,0.004269329999816281,0.0038933648770719267,-0.0055308338271782415,0.0022139545179692692
